code|impuesto_porcentaje|categoria_fiscal
770000100167|10.0|Snacks
770000100168|5.0|Lácteos
770000100169|5.0|Lácteos
770000100170|10.0|Alimentos Procesados
770000100171|19.0|Bebidas Azucaradas
770000100172|0.0|Snacks
770000100173|10.0|Alimentos Procesados
770000100174|5.0|Alimentos Procesados
770000100175|10.0|Snacks
770000100176|10.0|Alimentos Procesados
770000100177|10.0|Snacks
770000100178|19.0|Canasta Básica
770000100179|5.0|Alimentos Procesados
770000100180|10.0|Lácteos
770000100181|19.0|Snacks
770000100182|0.0|Snacks
770000100183|19.0|Snacks
770000100184|19.0|Snacks
770000100185|0.0|Alimentos Procesados
770000100186|19.0|Bebidas Azucaradas
770000100187|5.0|Canasta Básica
770000100188|5.0|Alimentos Procesados
770000100189|19.0|Snacks
770000100190|5.0|Alimentos Procesados
770000100191|5.0|Snacks
770000100192|10.0|Alimentos Procesados
770000100193|19.0|Snacks
770000200194|19.0|Lácteos
770000200195|10.0|Snacks
770000200196|5.0|Bebidas Azucaradas
770000200197|19.0|Alimentos Procesados
770000200198|19.0|Alimentos Procesados
770000200199|0.0|Bebidas Azucaradas
770000200200|19.0|Snacks
770000200201|0.0|Alimentos Procesados
770000200202|5.0|Alimentos Procesados
770000200203|10.0|Lácteos
770000200204|5.0|Canasta Básica
770000200205|19.0|Canasta Básica
770000200206|19.0|Lácteos
770000200207|10.0|Canasta Básica
770000200208|19.0|Lácteos
770000200209|19.0|Bebidas Azucaradas
770000200210|10.0|Lácteos
770000200211|10.0|Lácteos
770000200212|19.0|Snacks
770000200213|0.0|Bebidas Azucaradas
770000200214|10.0|Alimentos Procesados
770000200215|10.0|Snacks
770000200216|5.0|Bebidas Azucaradas
770000200217|10.0|Lácteos
770000200218|19.0|Alimentos Procesados
770000200219|19.0|Lácteos
770000200220|19.0|Snacks
770000200221|0.0|Alimentos Procesados
770000200222|0.0|Bebidas Azucaradas
770000200223|0.0|Bebidas Azucaradas
770000200224|5.0|Snacks
770000200225|10.0|Bebidas Azucaradas
770000200226|5.0|Canasta Básica
770000200227|0.0|Alimentos Procesados
770000200228|0.0|Canasta Básica
770000200229|0.0|Bebidas Azucaradas
770000200230|5.0|Canasta Básica
770000200231|5.0|Bebidas Azucaradas
770000200232|19.0|Lácteos
770000200233|0.0|Bebidas Azucaradas
770000200234|5.0|Snacks
770000200235|5.0|Canasta Básica
770000200236|0.0|Bebidas Azucaradas
770000200237|19.0|Canasta Básica
770000200238|10.0|Canasta Básica
770000200239|10.0|Lácteos
770000200240|19.0|Canasta Básica
770000200241|19.0|Snacks
770000200242|10.0|Bebidas Azucaradas
770000200243|10.0|Bebidas Azucaradas
770000200244|19.0|Bebidas Azucaradas
770000200245|0.0|Canasta Básica
770000200246|5.0|Bebidas Azucaradas
770000200247|10.0|Canasta Básica
770000200248|0.0|Alimentos Procesados
770000200249|5.0|Bebidas Azucaradas
770000200250|5.0|Bebidas Azucaradas
770000200251|0.0|Bebidas Azucaradas
770000200252|10.0|Canasta Básica
770000200253|0.0|Lácteos
770000200254|19.0|Canasta Básica
770000200255|0.0|Bebidas Azucaradas
770000200256|5.0|Snacks
770000200257|19.0|Alimentos Procesados
770000200258|10.0|Snacks
770000200259|5.0|Bebidas Azucaradas
770000200260|10.0|Lácteos
770000200261|5.0|Canasta Básica
770000200262|10.0|Canasta Básica
770000200263|5.0|Canasta Básica
770000200264|0.0|Lácteos
770000200265|19.0|Canasta Básica
770000200266|0.0|Bebidas Azucaradas
770000200267|10.0|Canasta Básica
770000200268|5.0|Snacks
770000200269|5.0|Canasta Básica
770000200270|5.0|Snacks
770000200271|5.0|Alimentos Procesados
770000200272|19.0|Bebidas Azucaradas
770000200273|19.0|Alimentos Procesados
770000200274|0.0|Snacks
770000200275|19.0|Alimentos Procesados
770000200276|5.0|Bebidas Azucaradas
770000200277|0.0|Snacks
770000200278|5.0|Snacks
770000200279|10.0|Canasta Básica
770000200280|19.0|Bebidas Azucaradas
770000200281|0.0|Snacks
770000200282|10.0|Canasta Básica
770000200283|10.0|Canasta Básica
770000200284|0.0|Bebidas Azucaradas
770000200285|5.0|Canasta Básica
770000200286|10.0|Lácteos
770000200287|0.0|Lácteos
770000200288|0.0|Bebidas Azucaradas
770000200289|19.0|Alimentos Procesados
770000200290|19.0|Alimentos Procesados
770000200291|10.0|Snacks
770000200292|0.0|Lácteos
770000200293|0.0|Canasta Básica
770000200294|19.0|Bebidas Azucaradas
770000200295|0.0|Lácteos
770000200296|19.0|Alimentos Procesados
770000200297|5.0|Snacks
770000200298|19.0|Snacks
770000200299|0.0|Lácteos
770000200300|19.0|Bebidas Azucaradas
770000200301|5.0|Lácteos
770000200302|19.0|Lácteos
770000200303|0.0|Alimentos Procesados
770000200304|10.0|Canasta Básica
770000200305|5.0|Alimentos Procesados
770000200306|19.0|Canasta Básica
770000200307|0.0|Bebidas Azucaradas
770000200308|10.0|Alimentos Procesados
770000200309|10.0|Snacks
770000200310|5.0|Lácteos
770000200311|19.0|Snacks
770000200312|5.0|Alimentos Procesados
770000200313|19.0|Lácteos
770000200314|0.0|Bebidas Azucaradas
770000200315|19.0|Lácteos
770000200316|19.0|Snacks
770000200317|0.0|Bebidas Azucaradas
770000200318|5.0|Alimentos Procesados
770000200319|10.0|Canasta Básica
770000200320|10.0|Alimentos Procesados
770000200321|10.0|Snacks
770000200322|10.0|Alimentos Procesados
770000200323|0.0|Bebidas Azucaradas
770000200324|0.0|Alimentos Procesados
770000200325|19.0|Bebidas Azucaradas
770000200326|10.0|Lácteos
770000200327|10.0|Snacks
770000200328|5.0|Bebidas Azucaradas
770000200329|10.0|Alimentos Procesados
770000200330|5.0|Alimentos Procesados
770000200331|19.0|Snacks
770000200332|5.0|Alimentos Procesados
770000200333|5.0|Alimentos Procesados
770000200334|5.0|Bebidas Azucaradas
770000200335|19.0|Lácteos
770000200336|19.0|Snacks
770000200337|0.0|Canasta Básica
770000200338|0.0|Canasta Básica
770000200339|10.0|Snacks
770000200340|10.0|Alimentos Procesados
770000200341|19.0|Lácteos
770000200342|0.0|Snacks
770000200343|10.0|Canasta Básica
770000200344|0.0|Snacks
770000200345|10.0|Lácteos
770000200346|10.0|Bebidas Azucaradas
770000200347|10.0|Canasta Básica
770000200348|10.0|Alimentos Procesados
770000200349|0.0|Lácteos
770000200350|19.0|Bebidas Azucaradas
770000200351|0.0|Canasta Básica
770000200352|19.0|Snacks
770000200353|10.0|Canasta Básica
770000200354|5.0|Alimentos Procesados
770000200355|5.0|Bebidas Azucaradas
770000200356|5.0|Lácteos
770000200357|0.0|Lácteos
770000200358|10.0|Bebidas Azucaradas
770000200359|5.0|Lácteos
770000200360|5.0|Snacks
770000200361|19.0|Lácteos
770000200362|0.0|Canasta Básica
770000200363|0.0|Alimentos Procesados
770000200364|19.0|Alimentos Procesados
770000200365|0.0|Snacks
770000200366|10.0|Lácteos
770000200367|10.0|Alimentos Procesados
770000200368|10.0|Canasta Básica
770000200369|10.0|Snacks
770000200370|0.0|Lácteos
770000200371|5.0|Bebidas Azucaradas
770000200372|10.0|Lácteos
770000200373|10.0|Bebidas Azucaradas
770000200374|10.0|Lácteos
770000200375|0.0|Snacks
770000200376|10.0|Lácteos
770000200377|19.0|Snacks
770000200378|10.0|Bebidas Azucaradas
770000200379|10.0|Canasta Básica
770000200380|0.0|Alimentos Procesados
770000200381|0.0|Bebidas Azucaradas
770000200382|0.0|Bebidas Azucaradas
770000200383|10.0|Snacks
770000200384|5.0|Canasta Básica
770000200385|19.0|Bebidas Azucaradas
770000200386|0.0|Alimentos Procesados
770000200387|10.0|Snacks
770000300388|0.0|Snacks
770000300389|0.0|Lácteos
770000300390|5.0|Alimentos Procesados
770000300391|19.0|Canasta Básica
770000300392|10.0|Canasta Básica
770000300393|5.0|Alimentos Procesados
770000300394|19.0|Canasta Básica
770000300395|10.0|Canasta Básica
770000300396|0.0|Snacks
770000300397|0.0|Alimentos Procesados
770000300398|0.0|Canasta Básica
770000300399|5.0|Lácteos
770000300400|0.0|Canasta Básica
770000300401|0.0|Lácteos
770000300402|5.0|Canasta Básica
770000300403|0.0|Bebidas Azucaradas
770000300404|0.0|Snacks
770000300405|5.0|Lácteos
770000300406|10.0|Snacks
770000300407|5.0|Bebidas Azucaradas
770000300408|5.0|Lácteos
770000300409|10.0|Bebidas Azucaradas
770000300410|5.0|Snacks
770000300411|19.0|Bebidas Azucaradas
770000300412|10.0|Alimentos Procesados
770000300413|5.0|Snacks
770000300414|10.0|Lácteos
770000300415|5.0|Snacks
770000300416|0.0|Canasta Básica
770000300417|0.0|Lácteos
770000300418|5.0|Lácteos
770000300419|5.0|Alimentos Procesados
770000300420|19.0|Snacks
770000300421|10.0|Alimentos Procesados
770000300422|19.0|Alimentos Procesados
770000300423|10.0|Lácteos
770000300424|0.0|Canasta Básica
770000300425|5.0|Bebidas Azucaradas
770000300426|5.0|Lácteos
770000300427|5.0|Snacks
770000300428|0.0|Alimentos Procesados
770000300429|0.0|Lácteos
770000300430|0.0|Snacks
770000300431|19.0|Snacks
770000300432|0.0|Snacks
770000300433|5.0|Bebidas Azucaradas
770000300434|19.0|Alimentos Procesados
770000300435|0.0|Canasta Básica
770000300436|10.0|Bebidas Azucaradas
770000300437|10.0|Lácteos
770000300438|19.0|Lácteos
770000300439|0.0|Lácteos
770000300440|0.0|Bebidas Azucaradas
770000300441|19.0|Lácteos
770000300442|0.0|Lácteos
770000300443|19.0|Bebidas Azucaradas
770000300444|19.0|Bebidas Azucaradas
770000300445|0.0|Bebidas Azucaradas
770000300446|19.0|Bebidas Azucaradas
770000300447|10.0|Canasta Básica
770000300448|0.0|Alimentos Procesados
770000300449|0.0|Canasta Básica
770000300450|0.0|Canasta Básica
770000300451|5.0|Bebidas Azucaradas
770000300452|5.0|Canasta Básica
770000300453|19.0|Lácteos
770000300454|19.0|Snacks
770000300455|19.0|Canasta Básica
770000300456|5.0|Lácteos
770000300457|0.0|Alimentos Procesados
770000300458|10.0|Lácteos
770000300459|0.0|Canasta Básica
770000300460|19.0|Alimentos Procesados
770000300461|10.0|Bebidas Azucaradas
770000300462|19.0|Snacks
770000300463|0.0|Canasta Básica
770000300464|5.0|Canasta Básica
770000300465|0.0|Bebidas Azucaradas
770000300466|5.0|Lácteos
770000300467|19.0|Canasta Básica
770000300468|10.0|Alimentos Procesados
770000300469|5.0|Canasta Básica
770000300470|0.0|Alimentos Procesados
770000300471|19.0|Snacks
770000300472|19.0|Lácteos
770000300473|5.0|Snacks
770000300474|5.0|Bebidas Azucaradas
770000300475|0.0|Alimentos Procesados
770000300476|0.0|Snacks
770000300477|10.0|Snacks
770000300478|10.0|Alimentos Procesados
770000300479|0.0|Lácteos
770000300480|0.0|Snacks
770000300481|10.0|Canasta Básica
770000300482|5.0|Snacks
770000300483|0.0|Canasta Básica
770000300484|0.0|Canasta Básica
770000300485|0.0|Canasta Básica
770000300486|0.0|Canasta Básica
770000300487|10.0|Lácteos
770000300488|5.0|Alimentos Procesados
770000300489|10.0|Alimentos Procesados
770000300490|0.0|Snacks
770000300491|5.0|Snacks
770000300492|10.0|Lácteos
770000300493|10.0|Lácteos
770000300494|5.0|Alimentos Procesados
770000300495|0.0|Alimentos Procesados
770000300496|19.0|Canasta Básica
770000300497|19.0|Bebidas Azucaradas
770000300498|0.0|Snacks
770000300499|5.0|Lácteos
770000300500|0.0|Bebidas Azucaradas
770000300501|10.0|Lácteos
770000300502|5.0|Canasta Básica
770000300503|0.0|Snacks
770000300504|19.0|Lácteos
770000300505|0.0|Snacks
770000300506|5.0|Canasta Básica
770000300507|5.0|Alimentos Procesados
770000300508|5.0|Lácteos
770000300509|0.0|Canasta Básica
770000300510|10.0|Snacks
770000300511|0.0|Lácteos
770000300512|19.0|Alimentos Procesados
770000300513|10.0|Bebidas Azucaradas
770000300514|0.0|Lácteos
770000300515|19.0|Alimentos Procesados
770000300516|19.0|Bebidas Azucaradas
770000300517|5.0|Lácteos
770000300518|19.0|Snacks
770000300519|19.0|Snacks
770000300520|0.0|Snacks
770000300521|0.0|Snacks
770000300522|10.0|Alimentos Procesados
770000300523|5.0|Lácteos
770000300524|19.0|Lácteos
770000300525|5.0|Lácteos
770000300526|0.0|Bebidas Azucaradas
770000300527|0.0|Bebidas Azucaradas
770000300528|19.0|Bebidas Azucaradas
770000300529|19.0|Canasta Básica
770000300530|0.0|Snacks
770000300531|0.0|Lácteos
770000300532|10.0|Lácteos
770000300533|10.0|Lácteos
770000300534|5.0|Bebidas Azucaradas
770000300535|19.0|Snacks
770000300536|19.0|Snacks
770000300537|0.0|Snacks
770000300538|5.0|Lácteos
770000300539|0.0|Lácteos
770000300540|10.0|Bebidas Azucaradas
770000300541|19.0|Snacks
770000300542|0.0|Snacks
770000300543|19.0|Canasta Básica
770000300544|10.0|Canasta Básica
770000300545|5.0|Snacks
770000300546|10.0|Snacks
770000300547|10.0|Canasta Básica
770000300548|10.0|Canasta Básica
770000300549|19.0|Canasta Básica
770000300550|0.0|Canasta Básica
770000300551|10.0|Canasta Básica
770000300552|10.0|Lácteos
770000300553|0.0|Snacks
770000300554|0.0|Lácteos
770000300555|0.0|Snacks
770000300556|10.0|Bebidas Azucaradas
770000300557|10.0|Alimentos Procesados
770000300558|5.0|Bebidas Azucaradas
770000300559|10.0|Lácteos
770000300560|10.0|Alimentos Procesados
770000300561|5.0|Bebidas Azucaradas
770000300562|19.0|Bebidas Azucaradas
770000300563|19.0|Alimentos Procesados
770000300564|19.0|Snacks
770000300565|19.0|Alimentos Procesados
770000300566|19.0|Bebidas Azucaradas
770000300567|5.0|Alimentos Procesados
770000300568|0.0|Lácteos
770000300569|19.0|Snacks
770000300570|10.0|Bebidas Azucaradas
770000300571|19.0|Alimentos Procesados
770000300572|5.0|Canasta Básica
770000300573|0.0|Lácteos
770000300574|19.0|Lácteos
770000300575|0.0|Lácteos
770000300576|0.0|Alimentos Procesados
770000300577|0.0|Lácteos
770000300578|0.0|Snacks
770000300579|10.0|Bebidas Azucaradas
770000300580|19.0|Alimentos Procesados
770000300581|19.0|Bebidas Azucaradas
770000400582|10.0|Bebidas Azucaradas
770000400583|5.0|Snacks
770000400584|0.0|Bebidas Azucaradas
770000400585|10.0|Alimentos Procesados
770000400586|0.0|Snacks
770000400587|0.0|Lácteos
770000400588|10.0|Bebidas Azucaradas
770000400589|0.0|Alimentos Procesados
770000400590|19.0|Lácteos
770000400591|0.0|Snacks
770000400592|10.0|Canasta Básica
770000400593|0.0|Lácteos
770000400594|19.0|Snacks
770000400595|5.0|Canasta Básica
770000400596|19.0|Lácteos
770000400597|10.0|Lácteos
770000400598|19.0|Lácteos
770000400599|0.0|Snacks
770000400600|10.0|Bebidas Azucaradas
770000400601|5.0|Snacks
770000400602|0.0|Bebidas Azucaradas
770000400603|0.0|Snacks
770000400604|10.0|Canasta Básica
770000400605|10.0|Canasta Básica
770000400606|19.0|Alimentos Procesados
770000400607|10.0|Alimentos Procesados
770000400608|19.0|Bebidas Azucaradas
770000400609|10.0|Alimentos Procesados
770000400610|10.0|Alimentos Procesados
770000400611|10.0|Lácteos
770000400612|0.0|Bebidas Azucaradas
770000400613|0.0|Snacks
770000400614|10.0|Alimentos Procesados
770000400615|5.0|Alimentos Procesados
770000400616|5.0|Snacks
770000400617|10.0|Snacks
770000400618|5.0|Lácteos
770000400619|5.0|Alimentos Procesados
770000400620|19.0|Snacks
770000400621|19.0|Lácteos
770000400622|19.0|Snacks
770000400623|0.0|Canasta Básica
770000400624|19.0|Snacks
770000400625|0.0|Alimentos Procesados
770000400626|0.0|Lácteos
770000400627|5.0|Bebidas Azucaradas
770000400628|19.0|Alimentos Procesados
770000400629|5.0|Snacks
770000400630|19.0|Bebidas Azucaradas
770000400631|0.0|Canasta Básica
770000400632|10.0|Snacks
770000400633|10.0|Snacks
770000400634|5.0|Lácteos
770000400635|5.0|Lácteos
770000400636|5.0|Snacks
770000400637|19.0|Bebidas Azucaradas
770000400638|10.0|Canasta Básica
770000400639|19.0|Snacks
770000400640|5.0|Lácteos
770000400641|0.0|Canasta Básica
770000400642|0.0|Canasta Básica
770000400643|0.0|Snacks
770000400644|10.0|Lácteos
770000400645|10.0|Lácteos
770000400646|10.0|Snacks
770000400647|0.0|Lácteos
770000400648|0.0|Bebidas Azucaradas
770000400649|5.0|Lácteos
770000400650|19.0|Lácteos
770000400651|19.0|Alimentos Procesados
770000400652|5.0|Canasta Básica
770000400653|0.0|Lácteos
770000400654|10.0|Canasta Básica
770000400655|0.0|Alimentos Procesados
770000400656|5.0|Snacks
770000400657|10.0|Alimentos Procesados
770000400658|0.0|Lácteos
770000400659|19.0|Alimentos Procesados
770000400660|5.0|Snacks
770000400661|0.0|Bebidas Azucaradas
770000400662|10.0|Alimentos Procesados
770000400663|5.0|Snacks
770000400664|19.0|Alimentos Procesados
770000400665|19.0|Snacks
770000400666|19.0|Canasta Básica
770000400667|0.0|Lácteos
770000400668|19.0|Canasta Básica
770000400669|5.0|Bebidas Azucaradas
770000400670|5.0|Canasta Básica
770000400671|10.0|Snacks
770000400672|19.0|Alimentos Procesados
770000400673|0.0|Alimentos Procesados
770000400674|19.0|Lácteos
770000400675|5.0|Snacks
770000400676|5.0|Lácteos
770000400677|19.0|Canasta Básica
770000400678|0.0|Snacks
770000400679|5.0|Bebidas Azucaradas
770000400680|19.0|Lácteos
770000400681|19.0|Lácteos
770000400682|0.0|Lácteos
770000400683|19.0|Snacks
770000400684|10.0|Alimentos Procesados
770000400685|19.0|Canasta Básica
770000400686|19.0|Bebidas Azucaradas
770000400687|19.0|Bebidas Azucaradas
770000400688|10.0|Alimentos Procesados
770000400689|5.0|Bebidas Azucaradas
770000400690|10.0|Snacks
770000400691|10.0|Snacks
770000400692|19.0|Lácteos
770000400693|5.0|Canasta Básica
770000400694|5.0|Snacks
770000400695|19.0|Lácteos
770000400696|0.0|Alimentos Procesados
770000400697|10.0|Lácteos
770000400698|10.0|Snacks
770000400699|5.0|Snacks
770000400700|5.0|Bebidas Azucaradas
770000400701|19.0|Alimentos Procesados
770000400702|5.0|Lácteos
770000400703|10.0|Alimentos Procesados
770000400704|0.0|Alimentos Procesados
770000400705|0.0|Lácteos
770000400706|0.0|Snacks
770000400707|0.0|Alimentos Procesados
770000400708|19.0|Snacks
770000400709|10.0|Canasta Básica
770000400710|5.0|Canasta Básica
770000400711|10.0|Snacks
770000400712|10.0|Snacks
770000400713|10.0|Canasta Básica
770000400714|5.0|Canasta Básica
770000400715|5.0|Bebidas Azucaradas
770000400716|5.0|Bebidas Azucaradas
770000400717|5.0|Lácteos
770000400718|10.0|Lácteos
770000400719|5.0|Alimentos Procesados
770000400720|0.0|Bebidas Azucaradas
770000400721|5.0|Canasta Básica
770000400722|10.0|Lácteos
770000400723|19.0|Bebidas Azucaradas
770000400724|5.0|Snacks
770000400725|5.0|Lácteos
770000400726|0.0|Lácteos
770000400727|10.0|Lácteos
770000400728|19.0|Canasta Básica
770000400729|0.0|Bebidas Azucaradas
770000400730|19.0|Lácteos
770000400731|5.0|Snacks
770000400732|19.0|Bebidas Azucaradas
770000400733|19.0|Bebidas Azucaradas
770000400734|5.0|Snacks
770000400735|10.0|Snacks
770000400736|19.0|Snacks
770000400737|0.0|Alimentos Procesados
770000400738|5.0|Lácteos
770000400739|10.0|Alimentos Procesados
770000400740|0.0|Lácteos
770000400741|5.0|Bebidas Azucaradas
770000400742|10.0|Alimentos Procesados
770000400743|19.0|Snacks
770000400744|5.0|Bebidas Azucaradas
770000400745|10.0|Snacks
770000400746|5.0|Snacks
770000400747|5.0|Snacks
770000400748|10.0|Snacks
770000400749|10.0|Bebidas Azucaradas
770000400750|5.0|Alimentos Procesados
770000400751|0.0|Alimentos Procesados
770000400752|5.0|Canasta Básica
770000400753|0.0|Canasta Básica
770000400754|5.0|Lácteos
770000400755|10.0|Lácteos
770000400756|5.0|Bebidas Azucaradas
770000400757|0.0|Bebidas Azucaradas
770000400758|10.0|Bebidas Azucaradas
770000400759|19.0|Bebidas Azucaradas
770000400760|10.0|Lácteos
770000400761|5.0|Snacks
770000400762|0.0|Snacks
770000400763|19.0|Bebidas Azucaradas
770000400764|0.0|Snacks
770000400765|0.0|Alimentos Procesados
770000400766|5.0|Snacks
770000400767|10.0|Bebidas Azucaradas
770000400768|10.0|Snacks
770000400769|5.0|Bebidas Azucaradas
770000400770|10.0|Bebidas Azucaradas
770000400771|10.0|Lácteos
770000400772|5.0|Canasta Básica
770000400773|19.0|Snacks
770000400774|10.0|Snacks
770000400775|5.0|Canasta Básica
770000500776|19.0|Lácteos
770000500777|5.0|Canasta Básica
770000500778|0.0|Canasta Básica
770000500779|5.0|Lácteos
770000500780|10.0|Canasta Básica
770000500781|5.0|Canasta Básica
770000500782|5.0|Canasta Básica
770000500783|19.0|Bebidas Azucaradas
770000500784|10.0|Alimentos Procesados
770000500785|0.0|Snacks
770000500786|5.0|Alimentos Procesados
770000500787|0.0|Bebidas Azucaradas
770000500788|19.0|Lácteos
770000500789|0.0|Alimentos Procesados
770000500790|10.0|Canasta Básica
770000500791|19.0|Alimentos Procesados
770000500792|0.0|Canasta Básica
770000500793|19.0|Canasta Básica
770000500794|19.0|Bebidas Azucaradas
770000500795|19.0|Bebidas Azucaradas
770000500796|5.0|Alimentos Procesados
770000500797|10.0|Lácteos
770000500798|10.0|Lácteos
770000500799|10.0|Alimentos Procesados
770000500800|5.0|Lácteos
770000500801|0.0|Snacks
770000500802|5.0|Alimentos Procesados
770000500803|19.0|Lácteos
770000500804|19.0|Alimentos Procesados
770000500805|5.0|Bebidas Azucaradas
770000500806|10.0|Lácteos
770000500807|19.0|Canasta Básica
770000500808|5.0|Canasta Básica
770000500809|5.0|Canasta Básica
770000500810|10.0|Snacks
770000500811|19.0|Alimentos Procesados
770000500812|19.0|Canasta Básica
770000500813|0.0|Canasta Básica
770000500814|5.0|Lácteos
770000500815|10.0|Lácteos
770000500816|10.0|Canasta Básica
770000500817|5.0|Lácteos
770000500818|5.0|Alimentos Procesados
770000500819|0.0|Canasta Básica
770000500820|5.0|Lácteos
